check,passed,value,limit,note
路线/K000009/目的地/S008|医疗物资,True,,,
路线/K000009/目的地/S008|生活卫生用品,True,,,
路线/K000009/目的地/S008|应急食品,True,,,
路线/K000009/目的地/S008|饮用水,True,,,
路线/K000009/装卸组批一致,True,,,
路线/K000009/载荷体积,True,"{'mass': 45.0, 'volume': 0.129}","{'mass': 80.0, 'volume': 0.25}",
路线/K000009/返航能量余量,True,5.836066297505489,6.4,
路线/K000009/能耗重算,True,5.836066297505489,5.836066297505489,
路线/K000009/SOC重算,True,,,
路线/K000009/卸载偏移重算,True,,,
路线/K000009/非负开始时刻,True,,,
路线/K000009/时间重算,True,"{'stored_finish': 5387.43919494949, 'recomputed_finish': 5387.43919494949}",,
路线/K000009/起飞准备,True,"{'stored': 3637.727670348657, 'recomputed': 3637.727670348657}",,
路线/K000009/充电时间,True,"{'stored': 2413.93462224107, 'recomputed': 2413.93462224107}",,
路线/K000009/充电完成重算,True,,,
路线/K000009/无人机编号,True,U08,,
路线/K000009/电池编号,True,C-BAT-04,,
通信/K000009/4024.820-4037.957,True,"{'direct_margin': -1.1910857450665162, 'access_margin': 10.11786551402274, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4037.957-4169.325,True,"{'direct_margin': -4.321303468693827, 'access_margin': 9.633887552363362, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4169.325-4208.735,True,"{'direct_margin': -5.076243581064176, 'access_margin': 8.141637059240864, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4208.735-4221.872,True,"{'direct_margin': -5.313994869767441, 'access_margin': 7.639070913469865, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4221.872-4274.419,True,"{'direct_margin': -6.204869090931766, 'access_margin': 5.730740419080348, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4274.419-4299.921,True,"{'direct_margin': -6.204869090937862, 'access_margin': 5.70930983318965, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4299.921-4325.423,True,"{'direct_margin': -6.203514460573459, 'access_margin': 5.685855611691309, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4325.423-4685.423,True,"{'direct_margin': -6.202505524891052, 'access_margin': 5.685855611691238, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4685.423-4705.825,True,"{'direct_margin': -6.2035144605734445, 'access_margin': 5.685855611691238, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4705.825-4726.227,True,"{'direct_margin': -6.204869090937848, 'access_margin': 5.709309833189295, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4726.227-4778.774,True,"{'direct_margin': -6.204869090937862, 'access_margin': 5.730740419067388, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4778.774-4791.911,True,"{'direct_margin': -5.313994869760464, 'access_margin': 7.639070913484744, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4791.911-4831.321,True,"{'direct_margin': -5.076243581075332, 'access_margin': 8.141637059217487, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4831.321-4962.689,True,"{'direct_margin': -4.321303468705992, 'access_margin': 9.63388755234135, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000009/4962.689-4975.826,True,"{'direct_margin': -1.191085745055318, 'access_margin': 10.11786551404306, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000009,True,"{'intervals': 19, 'relay_intervals': 15}",,
路线/K000009/逐箱组批一致,True,"{'S008|医疗物资': 1, 'S008|应急食品': 1, 'S008|生活卫生用品': 1, 'S008|饮用水': 2}","{'S008|医疗物资': 1, 'S008|生活卫生用品': 1, 'S008|应急食品': 1, 'S008|饮用水': 2}",
路线/K000010/目的地/S002|生活卫生用品,True,,,
路线/K000010/目的地/S002|应急食品,True,,,
路线/K000010/装卸组批一致,True,,,
路线/K000010/载荷体积,True,"{'mass': 14.0, 'volume': 0.063}","{'mass': 30.0, 'volume': 0.073}",
路线/K000010/返航能量余量,True,2.3613312390809593,3.2,
路线/K000010/能耗重算,True,2.3613312390809593,2.3613312390809593,
路线/K000010/SOC重算,True,,,
路线/K000010/卸载偏移重算,True,,,
路线/K000010/非负开始时刻,True,,,
路线/K000010/时间重算,True,"{'stored_finish': 5220.630018918242, 'recomputed_finish': 5220.630018918243}",,
路线/K000010/起飞准备,True,"{'stored': 3823.905937610485, 'recomputed': 3823.905937610485}",,
路线/K000010/充电时间,True,"{'stored': 1689.910203601749, 'recomputed': 1689.910203601749}",,
路线/K000010/充电完成重算,True,,,
路线/K000010/无人机编号,True,U06,,
路线/K000010/电池编号,True,B-BAT-04,,
通信/K000010/4144.378-4300.410,True,"{'direct_margin': -3.9626124517913865, 'access_margin': 1.446127508725894, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000010/4300.410-4352.421,True,"{'direct_margin': -4.985054818639924, 'access_margin': 0.7233463593037328, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000010/4352.421-4378.426,True,"{'direct_margin': -5.454442080566537, 'access_margin': 0.3475985996385731, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000010/4378.426-4414.208,True,"{'direct_margin': -5.454442080570175, 'access_margin': 0.33492735049971145, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000010/4414.208-4624.208,True,"{'direct_margin': -5.452794286226634, 'access_margin': 0.33492735049956934, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000010/4624.208-4654.026,True,"{'direct_margin': -5.454442080570175, 'access_margin': 0.33492735049956934, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000010/4654.026-4680.031,True,"{'direct_margin': -5.454442080570175, 'access_margin': 0.3475985996355604, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000010/4680.031-4732.042,True,"{'direct_margin': -4.985054818646773, 'access_margin': 0.7233463592984464, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000010/4732.042-4888.074,True,"{'direct_margin': -3.9626124517990746, 'access_margin': 1.4461275087209913, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000010,True,"{'intervals': 13, 'relay_intervals': 9}",,
路线/K000010/逐箱组批一致,True,"{'S002|应急食品': 1, 'S002|生活卫生用品': 1}","{'S002|生活卫生用品': 1, 'S002|应急食品': 1}",
路线/K000011/目的地/S001|饮用水,True,,,
路线/K000011/装卸组批一致,True,,,
路线/K000011/载荷体积,True,"{'mass': 28.0, 'volume': 0.054}","{'mass': 30.0, 'volume': 0.073}",
路线/K000011/返航能量余量,True,1.220434433311425,3.2,
路线/K000011/能耗重算,True,1.220434433311425,1.220434433311425,
路线/K000011/SOC重算,True,,,
路线/K000011/卸载偏移重算,True,,,
路线/K000011/非负开始时刻,True,,,
路线/K000011/时间重算,True,"{'stored_finish': 4931.41222583953, 'recomputed_finish': 4931.412225839531}",,
路线/K000011/起飞准备,True,"{'stored': 4142.306050013314, 'recomputed': 4142.306050013314}",,
路线/K000011/充电时间,True,"{'stored': 1195.5215877682842, 'recomputed': 1195.5215877682842}",,
路线/K000011/充电完成重算,True,,,
路线/K000011/无人机编号,True,U05,,
路线/K000011/电池编号,True,B-BAT-01,,
通信连续性/K000011,True,"{'intervals': 7, 'relay_intervals': 0}",,
路线/K000011/逐箱组批一致,True,{'S001|饮用水': 2},{'S001|饮用水': 2},
路线/K000012/目的地/S003|医疗物资,True,,,
路线/K000012/目的地/S003|应急食品,True,,,
路线/K000012/目的地/S003|饮用水,True,,,
路线/K000012/装卸组批一致,True,,,
路线/K000012/载荷体积,True,"{'mass': 67.0, 'volume': 0.148}","{'mass': 80.0, 'volume': 0.25}",
路线/K000012/返航能量余量,True,6.324596372619295,6.4,
路线/K000012/能耗重算,True,6.324596372619295,6.324596372619295,
路线/K000012/SOC重算,True,,,
路线/K000012/卸载偏移重算,True,,,
路线/K000012/非负开始时刻,True,,,
路线/K000012/时间重算,True,"{'stored_finish': 7152.791453016045, 'recomputed_finish': 7152.791453016045}",,
路线/K000012/起飞准备,True,"{'stored': 5196.613741916784, 'recomputed': 5196.613741916784}",,
路线/K000012/充电时间,True,"{'stored': 2546.2448509177257, 'recomputed': 2546.2448509177257}",,
路线/K000012/充电完成重算,True,,,
路线/K000012/无人机编号,True,U07,,
路线/K000012/电池编号,True,C-BAT-01,,
通信/K000012/5632.015-5645.103,True,"{'direct_margin': -0.4014829582306163, 'access_margin': 6.45524002949783, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/5645.103-5658.191,True,"{'direct_margin': -0.8016950664103462, 'access_margin': 6.6014087885641715, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/5658.191-5710.543,True,"{'direct_margin': -2.2414578694025664, 'access_margin': 6.712543177255398, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/5710.543-5762.895,True,"{'direct_margin': -3.4773424240706987, 'access_margin': 6.205946432922843, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/5762.895-5841.423,True,"{'direct_margin': -5.054434407821702, 'access_margin': 4.663802581057425, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/5841.423-5854.511,True,"{'direct_margin': -5.29162647918389, 'access_margin': 4.370378278652765, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/5854.511-5891.728,True,"{'direct_margin': -5.291626479183833, 'access_margin': 4.355452967079884, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/5891.728-5928.945,True,"{'direct_margin': -5.287020830286522, 'access_margin': 4.337254632047291, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/5928.945-5966.163,True,"{'direct_margin': -5.283321256024308, 'access_margin': 4.31582446317131, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/5966.163-6362.163,True,"{'direct_margin': -5.280530077345318, 'access_margin': 4.3158244631710545, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/6362.163-6391.936,True,"{'direct_margin': -5.283321256024308, 'access_margin': 4.3158244631710545, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/6391.936-6421.710,True,"{'direct_margin': -5.2870208302866075, 'access_margin': 4.337254632047319, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/6421.710-6451.484,True,"{'direct_margin': -5.29162647918389, 'access_margin': 4.355452967080254, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/6451.484-6464.572,True,"{'direct_margin': -5.291626479181247, 'access_margin': 4.370378278656091, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/6464.572-6543.100,True,"{'direct_margin': -5.0544344078303425, 'access_margin': 4.663802581046966, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/6543.100-6595.452,True,"{'direct_margin': -3.477342424081044, 'access_margin': 6.205946432915596, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/6595.452-6647.804,True,"{'direct_margin': -2.2414578694144893, 'access_margin': 6.712543177258723, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/6647.804-6660.892,True,"{'direct_margin': -0.8016950664244007, 'access_margin': 6.601408788558956, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000012/6660.892-6673.980,True,"{'direct_margin': -0.40148295821406066, 'access_margin': 0.019647347455304498, 'backhaul_margin': 10.187934124130948, 'slot': 4}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000012,True,"{'intervals': 23, 'relay_intervals': 19}",,
路线/K000012/逐箱组批一致,True,"{'S003|医疗物资': 1, 'S003|应急食品': 1, 'S003|饮用水': 4}","{'S003|医疗物资': 1, 'S003|应急食品': 1, 'S003|饮用水': 4}",
路线/K000014/目的地/S015|医疗物资,True,,,
路线/K000014/目的地/S015|应急食品,True,,,
路线/K000014/目的地/S015|饮用水,True,,,
路线/K000014/装卸组批一致,True,,,
路线/K000014/载荷体积,True,"{'mass': 25.0, 'volume': 0.067}","{'mass': 30.0, 'volume': 0.073}",
路线/K000014/返航能量余量,True,2.3075883370944723,3.2,
路线/K000014/能耗重算,True,2.3075883370944723,2.3075883370944723,
路线/K000014/SOC重算,True,,,
路线/K000014/卸载偏移重算,True,,,
路线/K000014/非负开始时刻,True,,,
路线/K000014/时间重算,True,"{'stored_finish': 7059.934350113855, 'recomputed_finish': 7059.934350113855}",,
路线/K000014/起飞准备,True,"{'stored': 5621.606789940195, 'recomputed': 5621.606789940195}",,
路线/K000014/充电时间,True,"{'stored': 1666.621612740938, 'recomputed': 1666.621612740938}",,
路线/K000014/充电完成重算,True,,,
路线/K000014/无人机编号,True,U06,,
路线/K000014/电池编号,True,B-BAT-02,,
通信/K000014/6028.124-6079.821,True,"{'direct_margin': -1.4442995838516026, 'access_margin': 10.3103986180312, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6079.821-6092.746,True,"{'direct_margin': -1.7960684024493077, 'access_margin': 13.373122115920324, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6092.746-6105.670,True,"{'direct_margin': -2.134244708900084, 'access_margin': 14.089945916632274, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6105.670-6118.594,True,"{'direct_margin': -2.4598329114597988, 'access_margin': 14.696902190153025, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6118.594-6144.442,True,"{'direct_margin': -3.07674387017083, 'access_margin': 15.123765248172063, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6144.442-6157.367,True,"{'direct_margin': -3.3695977767809637, 'access_margin': 14.856873513236124, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6157.367-6170.291,True,"{'direct_margin': -3.6529482103014885, 'access_margin': 14.299798407682772, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6170.291-6209.211,True,"{'direct_margin': -3.652948210301389, 'access_margin': 14.110852204619931, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6209.211-6449.211,True,"{'direct_margin': -3.6441975540626004, 'access_margin': 14.110852204619789, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6449.211-6481.644,True,"{'direct_margin': -3.6529482103014885, 'access_margin': 14.110852204619789, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6481.644-6494.568,True,"{'direct_margin': -3.65294821029552, 'access_margin': 1.3804419282527078, 'backhaul_margin': 10.187934124130948, 'slot': 4}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6494.568-6507.492,True,"{'direct_margin': -3.36959777678787, 'access_margin': 14.856873513224912, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6507.492-6533.341,True,"{'direct_margin': -3.076743870177978, 'access_margin': 15.123765248179595, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6533.341-6546.265,True,"{'direct_margin': -2.4598329114674726, 'access_margin': 14.696902190165716, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6546.265-6559.189,True,"{'direct_margin': -2.1342447089080565, 'access_margin': 14.089945916596378, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6559.189-6572.113,True,"{'direct_margin': -1.7960684024309188, 'access_margin': 13.373122115938344, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000014/6572.113-6623.810,True,"{'direct_margin': -1.4442995838602286, 'access_margin': 10.310398618048652, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000014,True,"{'intervals': 21, 'relay_intervals': 17}",,
路线/K000014/逐箱组批一致,True,"{'S015|医疗物资': 1, 'S015|应急食品': 1, 'S015|饮用水': 1}","{'S015|医疗物资': 1, 'S015|应急食品': 1, 'S015|饮用水': 1}",
路线/K000015/目的地/S004|医疗物资,True,,,
路线/K000015/目的地/S004|生活卫生用品,True,,,
路线/K000015/目的地/S004|应急食品,True,,,
路线/K000015/目的地/S004|饮用水,True,,,
路线/K000015/装卸组批一致,True,,,
路线/K000015/载荷体积,True,"{'mass': 59.0, 'volume': 0.156}","{'mass': 80.0, 'volume': 0.25}",
路线/K000015/返航能量余量,True,6.152920552274484,6.4,
路线/K000015/能耗重算,True,6.152920552274484,6.152920552274484,
路线/K000015/SOC重算,True,,,
路线/K000015/卸载偏移重算,True,,,
路线/K000015/非负开始时刻,True,,,
路线/K000015/时间重算,True,"{'stored_finish': 7688.493913721935, 'recomputed_finish': 7688.493913721934}",,
路线/K000015/起飞准备,True,"{'stored': 5867.439194949489, 'recomputed': 5867.439194949489}",,
路线/K000015/充电时间,True,"{'stored': 2499.749316241006, 'recomputed': 2499.749316241006}",,
路线/K000015/充电完成重算,True,,,
路线/K000015/无人机编号,True,U08,,
路线/K000015/电池编号,True,C-BAT-02,,
通信/K000015/6344.905-6371.280,True,"{'direct_margin': -3.5294518888116784, 'access_margin': 4.860196219586541, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/6371.280-6424.030,True,"{'direct_margin': -4.614893620838643, 'access_margin': 3.9790361725132897, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/6424.030-6463.592,True,"{'direct_margin': -5.348413296084203, 'access_margin': 3.223666242210072, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/6463.592-6476.779,True,"{'direct_margin': -5.57978673487176, 'access_margin': 2.9641482099602854, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/6476.779-6489.967,True,"{'direct_margin': -5.805162963709037, 'access_margin': 2.7031289399194947, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/6489.967-6532.452,True,"{'direct_margin': -5.805162963709023, 'access_margin': 2.685632494207155, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/6532.452-6574.937,True,"{'direct_margin': -5.802584923247252, 'access_margin': 10.945928307556017, 'backhaul_margin': 10.187934124130948, 'slot': 4}",,直连不可用时的同一中继接入+回传证书
通信/K000015/6574.937-6970.937,True,"{'direct_margin': -5.801059035898405, 'access_margin': 10.945928307556017, 'backhaul_margin': 10.187934124130948, 'slot': 4}",,直连不可用时的同一中继接入+回传证书
通信/K000015/6970.937-7004.924,True,"{'direct_margin': -5.802584923247295, 'access_margin': 10.94592830755677, 'backhaul_margin': 10.187934124130948, 'slot': 4}",,直连不可用时的同一中继接入+回传证书
通信/K000015/7004.924-7038.912,True,"{'direct_margin': -5.805162963709037, 'access_margin': 2.6856324942074536, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/7038.912-7052.100,True,"{'direct_margin': -5.8051629637026, 'access_margin': 2.703128939927069, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/7052.100-7065.287,True,"{'direct_margin': -5.579786734879505, 'access_margin': 2.9641482099514462, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/7065.287-7104.850,True,"{'direct_margin': -5.3484132960743835, 'access_margin': 3.2236662422208724, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/7104.850-7157.600,True,"{'direct_margin': -4.6148936208279565, 'access_margin': 3.9790361725234504, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000015/7157.600-7183.975,True,"{'direct_margin': -3.5294518888215123, 'access_margin': 4.860196219580047, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000015,True,"{'intervals': 19, 'relay_intervals': 15}",,
路线/K000015/逐箱组批一致,True,"{'S004|医疗物资': 1, 'S004|应急食品': 1, 'S004|生活卫生用品': 1, 'S004|饮用水': 3}","{'S004|医疗物资': 1, 'S004|生活卫生用品': 1, 'S004|应急食品': 1, 'S004|饮用水': 3}",
路线/K000013/目的地/S009|医疗物资,True,,,
路线/K000013/目的地/S009|应急食品,True,,,
路线/K000013/目的地/S009|饮用水,True,,,
路线/K000013/装卸组批一致,True,,,
路线/K000013/载荷体积,True,"{'mass': 25.0, 'volume': 0.067}","{'mass': 30.0, 'volume': 0.073}",
路线/K000013/返航能量余量,True,2.096289967733762,3.2,
路线/K000013/能耗重算,True,2.096289967733762,2.096289967733762,
路线/K000013/SOC重算,True,,,
路线/K000013/卸载偏移重算,True,,,
路线/K000013/非负开始时刻,True,,,
路线/K000013/时间重算,True,"{'stored_finish': 7333.448754672478, 'recomputed_finish': 7333.448754672478}",,
路线/K000013/起飞准备,True,"{'stored': 6164.98589033812, 'recomputed': 6164.98589033812}",,
路线/K000013/充电时间,True,"{'stored': 1575.0589860179634, 'recomputed': 1575.0589860179634}",,
路线/K000013/充电完成重算,True,,,
路线/K000013/无人机编号,True,U05,,
路线/K000013/电池编号,True,B-BAT-03,,
通信/K000013/6482.475-6600.516,True,"{'direct_margin': -3.182624572738618, 'access_margin': 8.031610804000948, 'backhaul_margin': 10.187934124130948, 'slot': 4}",,直连不可用时的同一中继接入+回传证书
通信/K000013/6600.516-6625.807,True,"{'direct_margin': -3.1826245727386038, 'access_margin': 12.476450835813836, 'backhaul_margin': 10.187934124130948, 'slot': 4}",,直连不可用时的同一中继接入+回传证书
通信/K000013/6625.807-6865.807,True,"{'direct_margin': -3.1807034065250974, 'access_margin': 12.476450835812727, 'backhaul_margin': 10.187934124130948, 'slot': 4}",,直连不可用时的同一中继接入+回传证书
通信/K000013/6865.807-6886.884,True,"{'direct_margin': -3.1826245727386038, 'access_margin': 12.476450835812727, 'backhaul_margin': 10.187934124130948, 'slot': 4}",,直连不可用时的同一中继接入+回传证书
通信/K000013/6886.884-7004.924,True,"{'direct_margin': -3.182624572738618, 'access_margin': 8.031610804002185, 'backhaul_margin': 10.187934124130948, 'slot': 4}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000013,True,"{'intervals': 9, 'relay_intervals': 5}",,
路线/K000013/逐箱组批一致,True,"{'S009|医疗物资': 1, 'S009|应急食品': 1, 'S009|饮用水': 1}","{'S009|医疗物资': 1, 'S009|应急食品': 1, 'S009|饮用水': 1}",
路线/K000017/目的地/S003|生活卫生用品,True,,,
路线/K000017/目的地/S003|应急食品,True,,,
路线/K000017/装卸组批一致,True,,,
路线/K000017/载荷体积,True,"{'mass': 14.0, 'volume': 0.063}","{'mass': 30.0, 'volume': 0.073}",
路线/K000017/返航能量余量,True,2.424318485056973,3.2,
路线/K000017/能耗重算,True,2.424318485056973,2.424318485056973,
路线/K000017/SOC重算,True,,,
路线/K000017/卸载偏移重算,True,,,
路线/K000017/非负开始时刻,True,,,
路线/K000017/时间重算,True,"{'stored_finish': 9080.544015151925, 'recomputed_finish': 9080.544015151927}",,
路线/K000017/起飞准备,True,"{'stored': 7419.934350113863, 'recomputed': 7419.934350113863}",,
路线/K000017/充电时间,True,"{'stored': 1717.2046768580215, 'recomputed': 1717.2046768580215}",,
路线/K000017/充电完成重算,True,,,
路线/K000017/无人机编号,True,U06,,
路线/K000017/电池编号,True,B-BAT-04,,
通信/K000017/7826.395-7839.483,True,"{'direct_margin': -0.4014829582252162, 'access_margin': 6.455240029495684, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000017/7839.483-7852.571,True,"{'direct_margin': -0.8016950664051876, 'access_margin': 6.601408788562466, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000017/7852.571-7904.923,True,"{'direct_margin': -2.2414578693981895, 'access_margin': 6.712543177254176, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000017/7904.923-7957.275,True,"{'direct_margin': -3.47734242406689, 'access_margin': 6.205946432925515, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000017/7957.275-8035.803,True,"{'direct_margin': -5.054434407818533, 'access_margin': 4.663802581061276, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000017/8035.803-8048.891,True,"{'direct_margin': -5.29162647918389, 'access_margin': 4.370378278652765, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000017/8048.891-8078.665,True,"{'direct_margin': -5.291626479183847, 'access_margin': 4.355452967080055, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000017/8078.665-8108.439,True,"{'direct_margin': -5.287020830286565, 'access_margin': 4.3372546320470775, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000017/8108.439-8138.213,True,"{'direct_margin': -5.283321256024266, 'access_margin': 4.315824463171239, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000017/8138.213-8348.213,True,"{'direct_margin': -5.280530077345318, 'access_margin': 4.3158244631710545, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
